Timestamp	NewJobs	DiscountRate
124.59700	610	
124.87600		277.2
125.17600	649	
125.35400	645	
125.42400	623	
125.46800	677	
125.67900	672	
125.74600		273.8
126.02300		267.1
126.09300	633	
126.20000	644	
126.34300	644	
126.38000	636	
126.47500		262.5
126.65200	632	
126.80900		262.6
127.00800	638	
127.21400	655	
127.44000	666	
127.44500		275.4
127.52600	683	
127.71600	653	
127.89000	687	
128.08000	708	
128.30000		274.1
128.36400	710	
128.39900	699	287.1
128.57600	700	
128.63200	704	
128.65200		286.8
128.81200	676	
129.00700		282.7
129.06200	552	
129.12500	565	
129.34800	540	
129.41100		264.1
129.67500	560	
129.75500		263.4
129.89800	524	
130.16700		259.0
130.17200	542	
130.54900	492	
131.14600	477	
131.19500	491	
131.78900		240.4
131.79500	453	
133.33400		224.0
133.34000	431	
134.20500		208.9
134.21100	399	
135.00300	352	204.6
135.68300	357	198.1
135.97600		201.8
136.35900		202.5
136.36700	374	
136.65900	377	195.9
137.38300		194.4
137.39300	348	
137.68600	339	
137.69400		193.4
138.22600		190.2
138.40800	318	
139.44500		192.3
140.07200	319	
141.31200		196.5
141.42200	345	
142.35700		190.4
143.98000	355	
145.43500		197.0
146.78400	356	
148.56600	400	
149.40600	418	
150.30300	410	191.9
150.63300	376	
151.44100	395	
152.56200	445	
153.17300	414	
154.12900	382	
154.47100		189.0
155.29900	377	185.5
155.70600	406	
157.29900	403	
157.80600	381	
159.79100	376	
160.49400		204.4
162.99600	405	191.6
165.27800	420	183.8
169.26600	478	
169.87000		197.9
172.59600	456	197.8
174.18900	402	
175.44000	468	190.3
176.27100		190.1
178.55000	503	207.7
180.77900	522	213.2
181.61700		217.7
181.71800	464	
183.35500	470	199.8
185.06300	510	203.5
187.19900	445	210.7
189.33500	440	231.4
191.05700	414	231.5
192.63200		218.0
195.62500	460	220.1
199.02500		242.6
199.29200	558	
202.21200	612	251.0
203.19100		239.1
204.28300	482	247.7
205.14800	425	244.4
205.43900	421	
205.71500	413	232.2
206.11900		228.7
206.12200	436	
206.67500	466	
207.03300	463	
207.41800	455	
207.99100	496	238.2
208.18300	475	
208.79600	476	
209.07800	485	
209.41400	515	242.2
209.97500	473	
210.02200		244.6
210.23700	498	
210.83000	567	247.3
211.00500	503	252.0
211.48100	509	
211.92900	586	
212.28100	551	257.4
212.66200	554	
213.01000	545	
213.38500	569	
214.15300	581	251.2
214.99600	558	
215.04100		241.4
215.50400	568	
215.59300		240.3
215.87900	586	242.7
216.31000	544	
216.45900		247.5
216.92300	557	
217.00900		251.7
217.25300	541	
217.27100		251.2
217.57700	483	
217.67600		245.4
218.34200	440	240.5
218.76700	436	
219.68000	476	212.2
220.04700	473	
220.18200		216.2
220.76000	498	207.2
220.99700	480	
221.05400		208.9
221.61200	482	205.7
222.95800	494	203.4
223.44600	532	215.7
224.63000	532	236.9
225.13600	512	
225.29900		234.5
225.50900		233.1
225.53500	506	
225.88800	497	224.5
226.21300	483	
226.71000		232.4
226.72600	484	
227.22400	476	
227.38400		233.9
227.84000	445	241.7
230.66800	439	
230.70300		245.2
231.38200		252.2
231.38300	460	
231.99000	495	241.4
232.57000		247.4
232.61500	502	
233.10200		243.1
233.13900	514	
233.64600	541	239.2
234.12600	540	245.7
234.47000	550	245.9
234.78100	540	247.4
235.21300		252.9
235.22200	554	
236.23400	582	
236.23600		259.8
237.46600	619	
237.83100		279.0
237.83400	631	
238.19900	650	
238.62300	500	
238.93500		263.8
238.94300	554	
239.24900	538	
239.25000		252.4
239.54500	522	249.9
240.20100		230.4
240.20500	498	
240.57600	484	
240.57700		219.4
240.96600	470	
242.06700	509	
242.06800		214.7
243.65300		200.2
243.65700	402	
244.19800	437	
244.21500		213.9
244.86100	401	
244.86300		195.4
245.48100	380	
245.48300		196.7
246.70900	405	
247.43600	399	
247.44700		199.0
248.08300	424	
248.08700		201.9
248.97700	447	
248.98000		204.0
249.75100	465	
250.46000	467	
250.46100		203.9
251.51900	421	
251.52100		209.7
252.18300	410	
252.95700	511	
252.95900		208.9
253.88000		214.7
253.88900	486	
255.23000	398	
255.23300		228.2
256.03800	408	
256.05300		199.9
256.48900	385	
256.50100		211.7
257.24500	402	
257.24700		188.7
258.47700		194.2
258.49500	457	
259.22600	445	
259.22800		198.9
259.95600	426	
259.95800		184.7
260.75400		190.4
260.75900	448	
261.59500		193.9
261.59600	454	
262.38800	448	
262.41100		194.2
263.20400	441	
263.20700		198.4
264.04200	442	
264.04600		193.2
264.83100	443	
264.83400		202.2
266.48500	417	
266.49200		211.0
267.43400		215.4
267.44300	453	
268.27300	429	
268.67700	441	
268.67900		223.7
270.67700	484	
270.68000		231.4
273.01000	472	
273.01200		226.4
274.44300	508	
274.44500		230.4
275.20900	516	
275.21800		231.0
276.86700	522	
277.92400	430	
277.92500		220.4
278.60200		217.2
279.54100	430	
279.54300		207.7
282.30100		212.7
282.32500	507	
283.49100	464	
283.49200		213.2
286.21400	482	
286.21700		224.4
287.84600		236.2
287.85200	522	
288.49200	454	
289.44400	433	
290.56800	438	
290.57100		240.2
291.76900		240.7
292.47200	475	
292.47400		250.2
293.67600		244.9
293.70000	429	
294.61100	468	
294.61500		225.9
295.51400	464	
295.84900		227.9
297.13100		233.2
297.18100	460	
298.05100		237.9
298.05800	487	
299.01600	486	
299.02000		239.0
299.87500	511	
299.87700		241.9
300.63900	545	
300.64600		251.7
301.48900	539	
301.49600		256.8
302.45200	603	
302.45600		257.2
303.32800	568	
303.33400		246.9
303.95100	588	
303.95300		272.7
304.58400	435	
304.59000		251.7
305.30300	443	
305.30600		244.7
306.08800	457	
307.12400	478	
307.13100		255.9
308.09700	478	
308.10100		249.2
310.03500	488	
310.03900		256.3
310.93000		260.4
310.98000	522	
311.76900	570	
311.77400		260.3
312.66600	561	
313.49300		266.3
313.51000	589	
314.36600	624	
315.13900	620	
315.14300		266.2
315.93700	621	
315.94000		270.2
316.67400	639	
316.68100		271.9
317.44200	627	
317.44500		275.2
318.26100	637	
318.97800	639	
318.98000		265.0
319.75400		271.8
319.87100	636	
320.37800		272.7
320.38800	604	
321.38300	604	
321.38600		273.2
322.10900	647	
322.11100		282.4
322.58200		289.2
322.61800	665	
322.82700		288.4
322.83300	731	
323.48500		298.7
323.48800	773	
324.18600	575	
324.18900		278.2
324.99100	581	285.8
325.52500	588	
325.52700		278.7
326.23600	558	
326.23900		270.5
327.11400		255.7
327.12100	537	
328.08400	517	
328.09700		241.9
329.23400	471	
329.26700		239.7
330.20400	451	
330.20800		234.2
332.28900	458	
332.29300		250.2
333.60000	371	
333.62700		200.7
335.29000		205.2
335.40400	383	
336.96700	342	
336.97200		204.9
338.27300	369	
340.16300	422	
340.16500		220.4
341.57200	397	
342.99300	442	
342.99800		221.2
344.72900	406	
344.73500		216.2
346.09500	384	
347.60400	398	
347.61000		209.2
349.16000	391	
350.75900	386	
350.76500		193.0
352.40600	392	
352.41200		186.2
354.32600	384	
356.20200	399	
356.83800	399	201.2
357.72800	396	
359.68200	454	
359.68800		206.4
361.16700	422	
362.76600		201.9
362.81400	386	
364.47100	397	
366.19100	432	
366.22100		214.7
368.10500	463	
369.55200	517	
369.56300		229.7
370.91900	405	
373.00700	432	
373.01400		227.0
374.56100		240.0
374.56700	482	
378.18300	521	
378.19400		246.9
379.62500	445	
379.63300		245.9
381.61200	516	
383.52700	542	
384.90900		264.7
384.91000	578	
386.54300	567	
386.57900		259.3
388.65200	544	
390.56700	439	
390.58900		255.2
392.42700	448	
392.45100		250.2
394.62000	478	
394.62800		266.3
396.69800	550	
396.71300		274.7
398.57500	574	
400.36200	566	
400.39000		278.0
401.86000	598	
404.16400	600	
405.82300	672	
405.84400		279.7
407.44200	634	
408.99500	644	
409.02200		283.7
410.79300	623	
410.83100		276.3
412.18200	626	
414.08000	653	
414.08500		285.5
415.45200	678	
417.17300	695	
