GDP	Timestamp	DiscountRate	Spread
3138.73	737.266	211.3	0.8
3139.46	737.889	210.6	1.4
3139.89	738.272	206.5	1.7
3140.54	738.844	200.3	1.6
3140.88	739.137	197.8	1.5
3141.66	739.842	185.0	0.9
3142.12	740.277	178.9	0.3
3142.85	741.021	178.6	2.4
3143.13	741.307	176.6	2.4
3143.86	742.075	177.9	2.1
3144.32	742.558	182.3	1.3
3144.98	743.233	181.7	2.7
3145.32	743.589	180.4	0.7
3146.06	744.354	181.2	0.9
3146.52	744.843	182.0	0.9
3147.48	745.836	180.2	1.2
3148.26	746.643	183.1	0.4
3148.72	747.110	180.8	0.3
3149.35	747.759	180.8	1.3
3149.68	748.101	180.4	0.8
3150.45	748.913	181.4	1.3
3150.91	749.401	182.9	1.8
3151.65	750.194	184.8	1.6
3151.91	750.476	184.0	1.4
3152.65	751.301	186.2	1.9
3153.12	751.830	190.1	1.3
3153.78	752.605	188.0	0.3
3154.10	752.978	196.5	1.8
3154.96	753.984	191.5	1.7
3155.32	754.394	195.8	1.5
3156.08	755.241	200.5	2.0
3156.30	755.495	201.9	1.4
3157.05	756.357	206.0	2.2
3157.52	756.871	210.7	2.3
3158.15	757.561	215.0	1.5
3158.53	757.962	219.2	1.4
3158.80	758.259	215.3	0.7
3159.00	758.475	217.6	1.8
3159.35	758.883	217.9	2.3
3159.72	759.306	214.9	1.2
3160.47	760.202	208.8	0.8
3160.71	760.500	206.9	1.1
3161.46	761.453	206.1	1.9
3161.92	762.064	212.0	0.2
3162.55	762.871	216.0	2.1
3162.91	763.319	215.0	0.9
3163.20	763.686	225.7	3.0
3163.40	763.934	221.4	2.7
3163.65	764.249	224.1	1.4
3164.12	764.833	222.6	0.9
3164.84	765.735	216.8	1.6
3165.13	766.110	215.7	0.5
3165.86	767.096	213.5	0.4
3166.32	767.737	217.7	0.9
3166.97	768.655	222.4	2.1
3167.26	769.050	221.4	1.8
3167.60	769.514	228.1	1.6
3167.80	769.787	226.0	1.6
3168.05	770.133	231.5	1.9
3168.29	770.447	235.6	1.1
3168.50	770.724	238.2	2.2
3168.70	770.994	235.6	2.1
3168.90	771.260	237.7	2.4
3169.24	771.708	229.5	1.5
3169.53	772.076	230.9	1.0
3170.25	773.043	230.0	2.3
3170.72	773.680	233.3	0.9
3171.35	774.548	236.9	0.4
3171.73	775.051	240.5	0.6
3172.46	776.037	238.8	2.0
3172.92	776.636	243.9	0.7
3173.65	777.556	246.3	0.5
3173.93	777.900	246.1	1.1
3174.65	778.798	245.8	2.4
3175.11	779.364	243.9	0.9
3175.84	780.268	248.5	0.6
3176.13	780.612	242.8	0.7
3176.89	781.535	248.7	0.7
3177.32	782.059	246.2	1.1
3178.31	783.263	252.1	2.5
3179.05	784.147	246.9	0.7
3179.52	784.692	250.7	0.2
3180.15	785.413	253.3	2.6
3180.51	785.789	255.4	1.4
3181.26	786.587	260.3	1.3
3181.73	787.076	256.9	0.7
3182.43	787.805	248.1	1.5
3182.65	788.033	247.9	2.7
3183.46	788.887	229.5	0.8
3183.91	789.381	226.3	3.0
3184.57	790.153	218.2	0.8
3184.90	790.538	221.3	1.8
3185.66	791.491	215.4	3.7
3186.12	792.081	205.1	2.5
3186.75	792.943	204.0	1.6
3186.98	793.260	209.0	1.9
3187.87	794.608	199.4	1.7
3188.23	795.202	195.2	2.0
3188.98	796.467	189.3	2.1
3189.33	797.099	188.4	1.4
3190.08	798.512	191.0	2.2
